UTC,Open,High,Low,Close,Volume
09.02.2026 12:00:00.000 UTC,1.18691,1.18727,1.18691,1.18725,253.8
09.02.2026 12:01:00.000 UTC,1.18726,1.18742,1.18723,1.18734,250.2
09.02.2026 12:02:00.000 UTC,1.18735,1.18741,1.18724,1.18735,203.4
09.02.2026 12:03:00.000 UTC,1.18733,1.18736,1.18724,1.18732,200.91
09.02.2026 12:04:00.000 UTC,1.18731,1.18739,1.1873,1.18737,78.3
09.02.2026 12:05:00.000 UTC,1.18735,1.18746,1.18735,1.18742,143.1
09.02.2026 12:06:00.000 UTC,1.18742,1.18745,1.18739,1.18742,77.4
09.02.2026 12:07:00.000 UTC,1.18741,1.1875,1.18741,1.18746,116.1
09.02.2026 12:08:00.000 UTC,1.18745,1.18747,1.18726,1.18728,228.6
09.02.2026 12:09:00.000 UTC,1.18729,1.18735,1.18727,1.18733,194.4
09.02.2026 12:10:00.000 UTC,1.18731,1.18743,1.18728,1.18733,189.31
09.02.2026 12:11:00.000 UTC,1.18734,1.18738,1.18728,1.18734,193.5
09.02.2026 12:12:00.000 UTC,1.18736,1.18742,1.18726,1.18737,145.8
09.02.2026 12:13:00.000 UTC,1.18739,1.18746,1.18726,1.18735,128.14
09.02.2026 12:14:00.000 UTC,1.18734,1.18741,1.18728,1.18741,72.9
09.02.2026 12:15:00.000 UTC,1.18741,1.18747,1.18737,1.18744,105.75
09.02.2026 12:16:00.000 UTC,1.18742,1.18746,1.1874,1.18745,60.3
09.02.2026 12:17:00.000 UTC,1.18744,1.1875,1.18742,1.18743,81.9
09.02.2026 12:18:00.000 UTC,1.18742,1.18768,1.18742,1.18764,134.1
09.02.2026 12:19:00.000 UTC,1.18766,1.18767,1.18747,1.18755,108
09.02.2026 12:20:00.000 UTC,1.18755,1.18756,1.18748,1.18756,39.6
09.02.2026 12:21:00.000 UTC,1.18757,1.1877,1.18756,1.18759,87.3
09.02.2026 12:22:00.000 UTC,1.18759,1.18768,1.18757,1.18767,75.6
09.02.2026 12:23:00.000 UTC,1.18767,1.18773,1.18759,1.18764,87.07
09.02.2026 12:24:00.000 UTC,1.18763,1.18765,1.1876,1.18763,56.7
09.02.2026 12:25:00.000 UTC,1.18761,1.1877,1.18759,1.1877,54
09.02.2026 12:26:00.000 UTC,1.1877,1.18774,1.18769,1.18772,36.45
09.02.2026 12:27:00.000 UTC,1.18769,1.18773,1.18762,1.18762,73.35
09.02.2026 12:28:00.000 UTC,1.18761,1.18763,1.18746,1.18747,74.02
09.02.2026 12:29:00.000 UTC,1.18747,1.18748,1.18741,1.18748,80.1
09.02.2026 12:30:00.000 UTC,1.18749,1.18759,1.18747,1.18758,43.2
09.02.2026 12:31:00.000 UTC,1.1876,1.18765,1.1875,1.18752,65.5
09.02.2026 12:32:00.000 UTC,1.18751,1.18751,1.1873,1.1873,73.82
09.02.2026 12:33:00.000 UTC,1.18731,1.18744,1.18729,1.18743,55.8
09.02.2026 12:34:00.000 UTC,1.18742,1.18744,1.18733,1.18743,40.5
09.02.2026 12:35:00.000 UTC,1.18744,1.18754,1.1874,1.18752,41.4
09.02.2026 12:36:00.000 UTC,1.18751,1.18769,1.1875,1.18765,39.6
09.02.2026 12:37:00.000 UTC,1.18764,1.18764,1.18748,1.1875,39.15
09.02.2026 12:38:00.000 UTC,1.18751,1.18758,1.1874,1.1875,82.12
09.02.2026 12:39:00.000 UTC,1.18749,1.18757,1.18749,1.18749,60.07
09.02.2026 12:40:00.000 UTC,1.18748,1.18759,1.18747,1.18755,111.6
09.02.2026 12:41:00.000 UTC,1.18754,1.1876,1.18751,1.18757,64.8
