UTC,Open,High,Low,Close,Volume
12.02.2026 12:00:00.000 UTC,1.18844,1.18855,1.18842,1.18855,100.85
12.02.2026 12:01:00.000 UTC,1.18856,1.18858,1.18845,1.18845,124.07
12.02.2026 12:02:00.000 UTC,1.18846,1.18861,1.18846,1.18856,72
12.02.2026 12:03:00.000 UTC,1.18855,1.1886,1.18849,1.18857,201.35
12.02.2026 12:04:00.000 UTC,1.18858,1.18859,1.18849,1.18852,144.15
12.02.2026 12:05:00.000 UTC,1.18852,1.18858,1.18841,1.18841,217.55
12.02.2026 12:06:00.000 UTC,1.18841,1.18853,1.18838,1.18847,142.75
12.02.2026 12:07:00.000 UTC,1.18846,1.1886,1.18846,1.18857,50.4
12.02.2026 12:08:00.000 UTC,1.18857,1.18859,1.18851,1.18854,51.3
12.02.2026 12:09:00.000 UTC,1.18853,1.18854,1.18846,1.18852,51.52
12.02.2026 12:10:00.000 UTC,1.18851,1.18851,1.1884,1.18846,60.1
12.02.2026 12:11:00.000 UTC,1.18846,1.18848,1.18836,1.1884,75.65
12.02.2026 12:12:00.000 UTC,1.18838,1.18841,1.18832,1.18841,71.15
12.02.2026 12:13:00.000 UTC,1.18842,1.18842,1.18834,1.18838,38.7
12.02.2026 12:14:00.000 UTC,1.18836,1.18839,1.18827,1.18839,43.25
12.02.2026 12:15:00.000 UTC,1.18839,1.1884,1.18817,1.1882,78.3
12.02.2026 12:16:00.000 UTC,1.18821,1.18828,1.18812,1.18814,50.45
12.02.2026 12:17:00.000 UTC,1.18815,1.18818,1.18806,1.18807,44.55
12.02.2026 12:18:00.000 UTC,1.18808,1.18818,1.18807,1.18808,45.23
12.02.2026 12:19:00.000 UTC,1.18811,1.18812,1.18809,1.18811,22.05
12.02.2026 12:20:00.000 UTC,1.1881,1.1881,1.18806,1.18808,37.8
12.02.2026 12:21:00.000 UTC,1.18806,1.18807,1.18791,1.18803,90.66
12.02.2026 12:22:00.000 UTC,1.18803,1.18822,1.18803,1.18819,206.31
12.02.2026 12:23:00.000 UTC,1.18819,1.18829,1.18816,1.18816,176.67
12.02.2026 12:24:00.000 UTC,1.18815,1.1882,1.18813,1.18819,62.1
12.02.2026 12:25:00.000 UTC,1.18822,1.18827,1.18821,1.18823,46.8
12.02.2026 12:26:00.000 UTC,1.18822,1.18824,1.18816,1.18823,67.95
12.02.2026 12:27:00.000 UTC,1.1882,1.18827,1.18816,1.18827,49.5
12.02.2026 12:28:00.000 UTC,1.18827,1.18829,1.18812,1.18813,43.45
12.02.2026 12:29:00.000 UTC,1.18814,1.18816,1.18804,1.18809,58.05
12.02.2026 12:30:00.000 UTC,1.1881,1.1882,1.18808,1.18811,76.5
12.02.2026 12:31:00.000 UTC,1.18814,1.18815,1.18807,1.1881,59
12.02.2026 12:32:00.000 UTC,1.1881,1.18813,1.18808,1.1881,44.1
12.02.2026 12:33:00.000 UTC,1.18811,1.1882,1.18808,1.18814,56.25
