UTC,Open,High,Low,Close,Volume
04.02.2026 12:00:00.000 UTC,1.18102,1.18114,1.18094,1.18114,120.37
04.02.2026 12:01:00.000 UTC,1.18111,1.18139,1.1811,1.18131,111.6
04.02.2026 12:02:00.000 UTC,1.18133,1.18139,1.18125,1.18128,117
04.02.2026 12:03:00.000 UTC,1.18126,1.18128,1.18118,1.18121,73.12
04.02.2026 12:04:00.000 UTC,1.18122,1.18125,1.18108,1.18108,71.55
04.02.2026 12:05:00.000 UTC,1.18107,1.18114,1.18106,1.18113,81
04.02.2026 12:06:00.000 UTC,1.18112,1.18113,1.18108,1.18109,42.75
04.02.2026 12:07:00.000 UTC,1.18107,1.18109,1.181,1.18109,44.55
04.02.2026 12:08:00.000 UTC,1.1811,1.1812,1.1811,1.1812,45.67
04.02.2026 12:09:00.000 UTC,1.18118,1.18127,1.18113,1.18118,78.75
04.02.2026 12:10:00.000 UTC,1.18119,1.18124,1.18113,1.18123,52.2
04.02.2026 12:11:00.000 UTC,1.18124,1.1813,1.18119,1.18128,27.9
04.02.2026 12:12:00.000 UTC,1.18127,1.18128,1.18122,1.18127,38.7
04.02.2026 12:13:00.000 UTC,1.18126,1.1813,1.18125,1.18129,21.6
04.02.2026 12:14:00.000 UTC,1.18129,1.18129,1.18117,1.18123,63.95
04.02.2026 12:15:00.000 UTC,1.18124,1.18148,1.18124,1.18147,83.25
04.02.2026 12:16:00.000 UTC,1.18147,1.18165,1.18144,1.1816,70.65
04.02.2026 12:17:00.000 UTC,1.18158,1.18164,1.18151,1.18152,73.24
04.02.2026 12:18:00.000 UTC,1.18157,1.18173,1.18157,1.18167,48.15
04.02.2026 12:19:00.000 UTC,1.18167,1.18167,1.1815,1.1816,84.6
04.02.2026 12:20:00.000 UTC,1.18161,1.18166,1.18152,1.18152,125.1
04.02.2026 12:21:00.000 UTC,1.18154,1.18157,1.18146,1.18147,52.2
04.02.2026 12:22:00.000 UTC,1.18146,1.1816,1.18146,1.1816,64.8
04.02.2026 12:23:00.000 UTC,1.18159,1.18159,1.1815,1.18159,50.4
04.02.2026 12:24:00.000 UTC,1.1816,1.18167,1.18158,1.18166,39.6
04.02.2026 12:25:00.000 UTC,1.18167,1.18169,1.18163,1.18164,68.4
04.02.2026 12:26:00.000 UTC,1.18165,1.18172,1.18157,1.18165,92.7
04.02.2026 12:27:00.000 UTC,1.18167,1.18174,1.18157,1.18157,72.09
04.02.2026 12:28:00.000 UTC,1.18159,1.18165,1.18145,1.18164,87.3
04.02.2026 12:29:00.000 UTC,1.18165,1.18165,1.18154,1.18155,67.95
04.02.2026 12:30:00.000 UTC,1.18157,1.18176,1.18156,1.18167,69.3
04.02.2026 12:31:00.000 UTC,1.18169,1.18181,1.18169,1.1818,82.8
04.02.2026 12:32:00.000 UTC,1.18179,1.18189,1.18178,1.18183,82.8
04.02.2026 12:33:00.000 UTC,1.18183,1.18196,1.18183,1.18195,174.6
04.02.2026 12:34:00.000 UTC,1.18195,1.18204,1.18192,1.18198,75.6
04.02.2026 12:35:00.000 UTC,1.18197,1.18199,1.18192,1.18194,55.8
04.02.2026 12:36:00.000 UTC,1.18194,1.182,1.18185,1.18192,57.15
04.02.2026 12:37:00.000 UTC,1.18191,1.18209,1.18189,1.18199,69.15
04.02.2026 12:38:00.000 UTC,1.182,1.182,1.18181,1.18185,90.9
04.02.2026 12:39:00.000 UTC,1.18186,1.18199,1.18186,1.18194,52.65
04.02.2026 12:40:00.000 UTC,1.18195,1.18203,1.18192,1.182,36.9
04.02.2026 12:41:00.000 UTC,1.182,1.18211,1.18198,1.18211,27
04.02.2026 12:42:00.000 UTC,1.18209,1.18226,1.18208,1.18226,54.9
04.02.2026 12:43:00.000 UTC,1.18226,1.18235,1.18218,1.18233,41.4
04.02.2026 12:44:00.000 UTC,1.18231,1.18236,1.18229,1.18235,62.55
04.02.2026 12:45:00.000 UTC,1.18234,1.1824,1.18231,1.18235,58.05
04.02.2026 12:46:00.000 UTC,1.18236,1.18246,1.18235,1.18246,42.3
04.02.2026 12:47:00.000 UTC,1.18245,1.18248,1.18219,1.18223,63
04.02.2026 12:48:00.000 UTC,1.18222,1.18242,1.18222,1.18238,54
04.02.2026 12:49:00.000 UTC,1.18238,1.18243,1.18217,1.18217,88.67
04.02.2026 12:50:00.000 UTC,1.18218,1.18232,1.18218,1.18229,55.8
04.02.2026 12:51:00.000 UTC,1.18229,1.18232,1.18221,1.18223,57.6
04.02.2026 12:52:00.000 UTC,1.18224,1.18224,1.18214,1.18216,79.65
04.02.2026 12:53:00.000 UTC,1.18217,1.18217,1.1819,1.18192,125.77
04.02.2026 12:54:00.000 UTC,1.18193,1.18217,1.18192,1.18214,108.47
04.02.2026 12:55:00.000 UTC,1.18212,1.18213,1.18198,1.18203,81.67
04.02.2026 12:56:00.000 UTC,1.18204,1.18205,1.18199,1.18205,75.6
04.02.2026 12:57:00.000 UTC,1.18204,1.18239,1.18204,1.18235,132.3
04.02.2026 12:58:00.000 UTC,1.18234,1.1824,1.1823,1.1823,94.72
04.02.2026 12:59:00.000 UTC,1.18231,1.18232,1.18215,1.18215,77.4
04.02.2026 13:00:00.000 UTC,1.18215,1.18229,1.1821,1.18228,201.6
04.02.2026 13:01:00.000 UTC,1.18226,1.18232,1.18208,1.18209,150.55
04.02.2026 13:02:00.000 UTC,1.18207,1.18208,1.18191,1.18194,155.72
04.02.2026 13:03:00.000 UTC,1.18195,1.18216,1.18194,1.18214,82.8
04.02.2026 13:04:00.000 UTC,1.18215,1.18231,1.18212,1.18229,107.55
04.02.2026 13:05:00.000 UTC,1.18228,1.18238,1.18222,1.18226,120.15
04.02.2026 13:06:00.000 UTC,1.18226,1.18231,1.18221,1.18222,169.65
04.02.2026 13:07:00.000 UTC,1.18221,1.18224,1.18216,1.18223,96.3
04.02.2026 13:08:00.000 UTC,1.18222,1.18222,1.18212,1.18217,76.95
04.02.2026 13:09:00.000 UTC,1.18218,1.18218,1.18191,1.18198,80.55
04.02.2026 13:10:00.000 UTC,1.18197,1.18212,1.18194,1.18204,92.7
04.02.2026 13:11:00.000 UTC,1.18205,1.18213,1.18187,1.18197,78.75
04.02.2026 13:12:00.000 UTC,1.18197,1.18197,1.18186,1.18195,75.37
04.02.2026 13:13:00.000 UTC,1.18194,1.18205,1.18194,1.18203,16.2
04.02.2026 13:14:00.000 UTC,1.18203,1.18225,1.18202,1.18211,159.75
04.02.2026 13:15:00.000 UTC,1.18211,1.18268,1.18211,1.18247,278.58
04.02.2026 13:16:00.000 UTC,1.18249,1.18267,1.18241,1.18244,141.97
04.02.2026 13:17:00.000 UTC,1.18245,1.18246,1.18144,1.18173,252.47
04.02.2026 13:18:00.000 UTC,1.18173,1.18181,1.18129,1.18137,243.55
04.02.2026 13:19:00.000 UTC,1.1814,1.18186,1.18138,1.18179,164.25
04.02.2026 13:20:00.000 UTC,1.18183,1.18205,1.18179,1.18188,158.17
04.02.2026 13:21:00.000 UTC,1.18189,1.18192,1.18178,1.18186,123.77
04.02.2026 13:22:00.000 UTC,1.18189,1.18201,1.18162,1.18169,195.86
04.02.2026 13:23:00.000 UTC,1.18169,1.18187,1.18161,1.18173,88.98
04.02.2026 13:24:00.000 UTC,1.18171,1.18175,1.18138,1.18143,220.35
04.02.2026 13:25:00.000 UTC,1.18145,1.18168,1.18145,1.18154,68.51
04.02.2026 13:26:00.000 UTC,1.18153,1.18157,1.18148,1.18153,67.76
04.02.2026 13:27:00.000 UTC,1.18151,1.18162,1.18147,1.18156,121.21
04.02.2026 13:28:00.000 UTC,1.18156,1.18158,1.18134,1.18138,149.05
04.02.2026 13:29:00.000 UTC,1.18141,1.18143,1.18132,1.18137,47.7
04.02.2026 13:30:00.000 UTC,1.18139,1.18141,1.18113,1.18126,96.9
04.02.2026 13:31:00.000 UTC,1.18127,1.18137,1.18117,1.18137,126.71
04.02.2026 13:32:00.000 UTC,1.18139,1.1816,1.18139,1.18153,131.08
04.02.2026 13:33:00.000 UTC,1.18152,1.18156,1.18133,1.1815,146.22
04.02.2026 13:34:00.000 UTC,1.18149,1.18173,1.18144,1.18159,217.75
04.02.2026 13:35:00.000 UTC,1.1816,1.18164,1.18148,1.18148,190.85
04.02.2026 13:36:00.000 UTC,1.18146,1.18153,1.18134,1.18134,212.06
04.02.2026 13:37:00.000 UTC,1.18136,1.18187,1.18136,1.18179,182.59
04.02.2026 13:38:00.000 UTC,1.1818,1.18191,1.18169,1.18183,188.92
04.02.2026 13:39:00.000 UTC,1.18183,1.18206,1.18183,1.18204,99.84
04.02.2026 13:40:00.000 UTC,1.18207,1.18207,1.18175,1.18183,175.61
04.02.2026 13:41:00.000 UTC,1.18184,1.18184,1.18156,1.18156,114.46
04.02.2026 13:42:00.000 UTC,1.18157,1.1819,1.18157,1.18188,134.64
04.02.2026 13:43:00.000 UTC,1.18187,1.18206,1.18182,1.182,129.93
04.02.2026 13:44:00.000 UTC,1.18199,1.18199,1.18179,1.18181,142.72
04.02.2026 13:45:00.000 UTC,1.1818,1.18184,1.18169,1.18176,59.02
04.02.2026 13:46:00.000 UTC,1.18177,1.18202,1.18176,1.18199,136.3
04.02.2026 13:47:00.000 UTC,1.18197,1.18197,1.18164,1.18168,84.86
04.02.2026 13:48:00.000 UTC,1.18166,1.18171,1.18153,1.18158,145.81
04.02.2026 13:49:00.000 UTC,1.18157,1.1817,1.18152,1.18165,151.03
04.02.2026 13:50:00.000 UTC,1.18164,1.18178,1.18164,1.18173,80.04
04.02.2026 13:51:00.000 UTC,1.18174,1.18204,1.18174,1.18203,124.46
04.02.2026 13:52:00.000 UTC,1.18203,1.18245,1.18203,1.18239,152.94
04.02.2026 13:53:00.000 UTC,1.18238,1.18238,1.18211,1.1822,104.57
04.02.2026 13:54:00.000 UTC,1.1822,1.18234,1.18216,1.18216,118.67
04.02.2026 13:55:00.000 UTC,1.18217,1.18235,1.18214,1.1823,127.85
04.02.2026 13:56:00.000 UTC,1.1823,1.18245,1.18228,1.18244,129.64
04.02.2026 13:57:00.000 UTC,1.18242,1.18243,1.18228,1.18235,195.04
04.02.2026 13:58:00.000 UTC,1.18235,1.18238,1.18216,1.18222,135.87
04.02.2026 13:59:00.000 UTC,1.18223,1.18224,1.18213,1.18223,124.74
04.02.2026 14:00:00.000 UTC,1.18225,1.18228,1.18214,1.18223,234.97
04.02.2026 14:01:00.000 UTC,1.18221,1.18235,1.18202,1.18218,169.74
04.02.2026 14:02:00.000 UTC,1.18219,1.18254,1.18219,1.1825,182.7
