UTC,Open,High,Low,Close,Volume
05.02.2026 12:00:00.000 UTC,1.17935,1.17935,1.17874,1.17901,606.49
05.02.2026 12:01:00.000 UTC,1.17903,1.17916,1.17892,1.1791,189.45
05.02.2026 12:02:00.000 UTC,1.17912,1.17928,1.17909,1.17919,183.6
05.02.2026 12:03:00.000 UTC,1.17921,1.17952,1.17921,1.17928,206.64
05.02.2026 12:04:00.000 UTC,1.17926,1.17947,1.17904,1.17946,195.75
05.02.2026 12:05:00.000 UTC,1.17944,1.17949,1.17927,1.17942,234.9
05.02.2026 12:06:00.000 UTC,1.17941,1.17941,1.17912,1.17937,224.1
05.02.2026 12:07:00.000 UTC,1.17937,1.17968,1.17937,1.17948,287.1
05.02.2026 12:08:00.000 UTC,1.17948,1.17954,1.17929,1.17943,137.7
05.02.2026 12:09:00.000 UTC,1.17944,1.17959,1.17942,1.17958,128.25
05.02.2026 12:10:00.000 UTC,1.17956,1.17957,1.17929,1.17947,166.95
05.02.2026 12:11:00.000 UTC,1.17946,1.17948,1.17923,1.17937,175.94
05.02.2026 12:12:00.000 UTC,1.17937,1.17942,1.17926,1.17937,142.2
05.02.2026 12:13:00.000 UTC,1.17935,1.17946,1.17926,1.17935,140.85
05.02.2026 12:14:00.000 UTC,1.17937,1.17944,1.1792,1.17925,157.05
05.02.2026 12:15:00.000 UTC,1.17926,1.17945,1.17922,1.17942,120.15
05.02.2026 12:16:00.000 UTC,1.17942,1.17945,1.17921,1.17921,103.05
05.02.2026 12:17:00.000 UTC,1.17923,1.17924,1.17908,1.17909,83.24
05.02.2026 12:18:00.000 UTC,1.1791,1.17912,1.17889,1.17899,95.62
05.02.2026 12:19:00.000 UTC,1.17898,1.17903,1.17878,1.17879,111.6
05.02.2026 12:20:00.000 UTC,1.17879,1.17886,1.17868,1.17875,89.32
05.02.2026 12:21:00.000 UTC,1.17875,1.17882,1.17875,1.1788,118.8
05.02.2026 12:22:00.000 UTC,1.17879,1.17881,1.17859,1.17877,149.04
05.02.2026 12:23:00.000 UTC,1.17877,1.17884,1.17854,1.17869,168.75
05.02.2026 12:24:00.000 UTC,1.17871,1.17889,1.17866,1.17889,137.38
05.02.2026 12:25:00.000 UTC,1.1789,1.17917,1.1789,1.17917,191.7
05.02.2026 12:26:00.000 UTC,1.17915,1.17922,1.17905,1.1791,121.5
05.02.2026 12:27:00.000 UTC,1.17909,1.17926,1.17907,1.17925,226.89
05.02.2026 12:28:00.000 UTC,1.17929,1.17936,1.17923,1.17932,100.12
05.02.2026 12:29:00.000 UTC,1.17932,1.17942,1.17924,1.17939,74.7
05.02.2026 12:30:00.000 UTC,1.17939,1.18008,1.17932,1.1799,454.51
05.02.2026 12:31:00.000 UTC,1.17992,1.18012,1.17981,1.17981,299.7
05.02.2026 12:32:00.000 UTC,1.17981,1.17984,1.17932,1.17957,456.07
05.02.2026 12:33:00.000 UTC,1.17954,1.17969,1.17945,1.17964,230.4
05.02.2026 12:34:00.000 UTC,1.17964,1.17964,1.17926,1.1793,145.35
05.02.2026 12:35:00.000 UTC,1.17927,1.17962,1.17914,1.17943,249.42
05.02.2026 12:36:00.000 UTC,1.17939,1.1794,1.17917,1.17937,192.15
05.02.2026 12:37:00.000 UTC,1.17939,1.17963,1.17926,1.17961,177.75
05.02.2026 12:38:00.000 UTC,1.17963,1.17965,1.17941,1.17943,170.32
05.02.2026 12:39:00.000 UTC,1.17943,1.17967,1.17936,1.17966,108
05.02.2026 12:40:00.000 UTC,1.17965,1.1797,1.17945,1.17961,189.22
05.02.2026 12:41:00.000 UTC,1.17962,1.17971,1.17952,1.17963,137.7
05.02.2026 12:42:00.000 UTC,1.17961,1.1797,1.17949,1.17965,122.4
05.02.2026 12:43:00.000 UTC,1.17963,1.17972,1.1794,1.17944,231.52
05.02.2026 12:44:00.000 UTC,1.17945,1.17954,1.17925,1.17951,188.55
05.02.2026 12:45:00.000 UTC,1.17947,1.1798,1.17942,1.17971,240.74
05.02.2026 12:46:00.000 UTC,1.1797,1.18026,1.17968,1.18026,228.6
05.02.2026 12:47:00.000 UTC,1.18027,1.18035,1.17993,1.17993,220.3
05.02.2026 12:48:00.000 UTC,1.17992,1.17992,1.1797,1.17973,259.45
05.02.2026 12:49:00.000 UTC,1.17975,1.17991,1.17963,1.17971,152.1
05.02.2026 12:50:00.000 UTC,1.17969,1.17973,1.17952,1.17963,180.22
05.02.2026 12:51:00.000 UTC,1.17964,1.18001,1.17964,1.18,170.55
05.02.2026 12:52:00.000 UTC,1.18004,1.18015,1.17998,1.18002,147.15
05.02.2026 12:53:00.000 UTC,1.18004,1.18012,1.17936,1.17944,272.25
05.02.2026 12:54:00.000 UTC,1.17944,1.17956,1.17919,1.17943,295.15
05.02.2026 12:55:00.000 UTC,1.17943,1.17963,1.17942,1.17943,245.72
05.02.2026 12:56:00.000 UTC,1.17942,1.17974,1.17942,1.17961,285.82
05.02.2026 12:57:00.000 UTC,1.17962,1.17988,1.17961,1.17987,223.2
05.02.2026 12:58:00.000 UTC,1.17987,1.18023,1.17985,1.18022,301.5
05.02.2026 12:59:00.000 UTC,1.18021,1.18021,1.17986,1.17997,239.64
05.02.2026 13:00:00.000 UTC,1.17997,1.18026,1.17975,1.1798,343.8
05.02.2026 13:01:00.000 UTC,1.17979,1.18001,1.17968,1.17989,390.6
05.02.2026 13:02:00.000 UTC,1.1799,1.18031,1.1799,1.17992,264.82
05.02.2026 13:03:00.000 UTC,1.17991,1.18008,1.17988,1.17992,192.6
05.02.2026 13:04:00.000 UTC,1.17992,1.17996,1.17978,1.1798,214.45
05.02.2026 13:05:00.000 UTC,1.17982,1.17992,1.1798,1.17987,200.25
05.02.2026 13:06:00.000 UTC,1.1799,1.17992,1.17971,1.17975,153.47
05.02.2026 13:07:00.000 UTC,1.17975,1.17981,1.17954,1.17959,284.59
05.02.2026 13:08:00.000 UTC,1.17959,1.17985,1.17941,1.17985,217.36
05.02.2026 13:09:00.000 UTC,1.17986,1.17986,1.17962,1.17976,138.65
05.02.2026 13:10:00.000 UTC,1.1798,1.17984,1.17965,1.17967,103.07
05.02.2026 13:11:00.000 UTC,1.17967,1.17993,1.17967,1.1798,88.2
05.02.2026 13:12:00.000 UTC,1.17979,1.17987,1.1796,1.17962,114.97
05.02.2026 13:13:00.000 UTC,1.17961,1.17975,1.1795,1.17953,79.87
05.02.2026 13:14:00.000 UTC,1.17951,1.17951,1.17926,1.17936,209.17
05.02.2026 13:15:00.000 UTC,1.17934,1.17974,1.17909,1.17972,214.65
05.02.2026 13:16:00.000 UTC,1.17977,1.18008,1.17964,1.18003,155.95
05.02.2026 13:17:00.000 UTC,1.18003,1.18007,1.17963,1.17963,175.04
05.02.2026 13:18:00.000 UTC,1.17964,1.17978,1.17954,1.17966,181.75
05.02.2026 13:19:00.000 UTC,1.17968,1.17993,1.17963,1.17981,171.91
05.02.2026 13:20:00.000 UTC,1.17979,1.17981,1.17951,1.17956,174.6
05.02.2026 13:21:00.000 UTC,1.17953,1.17967,1.17947,1.17961,158.39
05.02.2026 13:22:00.000 UTC,1.17963,1.1799,1.17962,1.17976,128.7
05.02.2026 13:23:00.000 UTC,1.17978,1.17988,1.17969,1.17969,126.43
05.02.2026 13:24:00.000 UTC,1.1797,1.18,1.1797,1.17994,237.37
05.02.2026 13:25:00.000 UTC,1.17994,1.18026,1.17987,1.18025,177.52
05.02.2026 13:26:00.000 UTC,1.18026,1.18026,1.18008,1.18012,137.47
05.02.2026 13:27:00.000 UTC,1.18015,1.18023,1.18013,1.18018,59.4
05.02.2026 13:28:00.000 UTC,1.18018,1.18019,1.18003,1.18005,59.85
05.02.2026 13:29:00.000 UTC,1.18005,1.18026,1.18003,1.18012,167.62
05.02.2026 13:30:00.000 UTC,1.18025,1.18097,1.18025,1.18074,444.15
05.02.2026 13:31:00.000 UTC,1.18074,1.18075,1.18044,1.18071,217.8
05.02.2026 13:32:00.000 UTC,1.18073,1.18088,1.1805,1.18051,223.65
05.02.2026 13:33:00.000 UTC,1.18051,1.18051,1.18004,1.18011,294.75
05.02.2026 13:34:00.000 UTC,1.18012,1.1804,1.18003,1.18035,257.85
05.02.2026 13:35:00.000 UTC,1.18034,1.18065,1.1803,1.18064,297
05.02.2026 13:36:00.000 UTC,1.18065,1.18115,1.18065,1.18095,327.85
05.02.2026 13:37:00.000 UTC,1.18097,1.18114,1.18092,1.18098,181.15
05.02.2026 13:38:00.000 UTC,1.18097,1.18129,1.18087,1.18095,314.1
05.02.2026 13:39:00.000 UTC,1.18094,1.18095,1.18039,1.1804,256.5
05.02.2026 13:40:00.000 UTC,1.18042,1.18066,1.18033,1.18056,216.44
05.02.2026 13:41:00.000 UTC,1.18056,1.18062,1.1803,1.18055,241.29
05.02.2026 13:42:00.000 UTC,1.18059,1.18075,1.18052,1.18067,226.78
05.02.2026 13:43:00.000 UTC,1.18067,1.18084,1.18055,1.1806,159.21
05.02.2026 13:44:00.000 UTC,1.1806,1.18072,1.18049,1.18051,216.89
05.02.2026 13:45:00.000 UTC,1.18052,1.1806,1.18032,1.18046,198
05.02.2026 13:46:00.000 UTC,1.18047,1.18063,1.18045,1.18062,183.15
05.02.2026 13:47:00.000 UTC,1.18061,1.18062,1.18037,1.18045,182.25
05.02.2026 13:48:00.000 UTC,1.18044,1.18061,1.18038,1.18051,220.3
05.02.2026 13:49:00.000 UTC,1.18049,1.18063,1.18043,1.18046,211.05
05.02.2026 13:50:00.000 UTC,1.18045,1.18094,1.18045,1.18085,247.72
05.02.2026 13:51:00.000 UTC,1.18082,1.18111,1.18068,1.18091,300.4
05.02.2026 13:52:00.000 UTC,1.18092,1.18107,1.18076,1.18107,172.35
05.02.2026 13:53:00.000 UTC,1.18105,1.18126,1.18093,1.18095,232.2
05.02.2026 13:54:00.000 UTC,1.18094,1.18153,1.18093,1.18143,289.12
05.02.2026 13:55:00.000 UTC,1.18145,1.18146,1.18113,1.1813,305.76
05.02.2026 13:56:00.000 UTC,1.18126,1.18141,1.18114,1.18133,211.05
05.02.2026 13:57:00.000 UTC,1.18134,1.1815,1.18102,1.18134,271.6
05.02.2026 13:58:00.000 UTC,1.18132,1.18132,1.18114,1.18124,177.55
05.02.2026 13:59:00.000 UTC,1.18122,1.18133,1.18111,1.18118,183.17
05.02.2026 14:00:00.000 UTC,1.18118,1.18118,1.18061,1.18072,384.51
05.02.2026 14:01:00.000 UTC,1.18073,1.18079,1.18061,1.18068,203.65
05.02.2026 14:02:00.000 UTC,1.18067,1.18135,1.18009,1.18074,770.77
05.02.2026 14:03:00.000 UTC,1.18074,1.18186,1.18074,1.18143,570.52
05.02.2026 14:04:00.000 UTC,1.18143,1.18194,1.18082,1.18099,551.3
05.02.2026 14:05:00.000 UTC,1.18099,1.18112,1.18073,1.1809,216.67
05.02.2026 14:06:00.000 UTC,1.18091,1.18123,1.18086,1.18122,180.54
05.02.2026 14:07:00.000 UTC,1.18122,1.18145,1.1812,1.18132,189.89
05.02.2026 14:08:00.000 UTC,1.18131,1.1814,1.18055,1.18083,326.6
05.02.2026 14:09:00.000 UTC,1.1808,1.18095,1.18068,1.1809,248.25
05.02.2026 14:10:00.000 UTC,1.18091,1.1813,1.18086,1.18128,168.75
05.02.2026 14:11:00.000 UTC,1.1813,1.1814,1.18112,1.18127,153.67
05.02.2026 14:12:00.000 UTC,1.18128,1.18163,1.18126,1.18153,227.25
05.02.2026 14:13:00.000 UTC,1.18153,1.18182,1.18153,1.18172,148.39
05.02.2026 14:14:00.000 UTC,1.18172,1.18208,1.18172,1.18203,243.22
05.02.2026 14:15:00.000 UTC,1.18205,1.18218,1.18181,1.18188,262.59
05.02.2026 14:16:00.000 UTC,1.18186,1.18191,1.18176,1.18189,117.9
05.02.2026 14:17:00.000 UTC,1.18187,1.18192,1.18144,1.1816,246.6
05.02.2026 14:18:00.000 UTC,1.18159,1.1816,1.18122,1.18135,211.21
05.02.2026 14:19:00.000 UTC,1.18136,1.18139,1.18084,1.18118,223.58
05.02.2026 14:20:00.000 UTC,1.18116,1.18142,1.18108,1.18142,144
05.02.2026 14:21:00.000 UTC,1.1814,1.18145,1.18126,1.18139,137.01
05.02.2026 14:22:00.000 UTC,1.18142,1.18142,1.18114,1.18117,100.44
05.02.2026 14:23:00.000 UTC,1.18118,1.18155,1.18118,1.18155,238.95
05.02.2026 14:24:00.000 UTC,1.18153,1.18188,1.18142,1.18188,234.18
05.02.2026 14:25:00.000 UTC,1.1819,1.18196,1.18166,1.1817,182.56
05.02.2026 14:26:00.000 UTC,1.18169,1.18169,1.18115,1.18118,200.91
05.02.2026 14:27:00.000 UTC,1.18119,1.18125,1.18108,1.18118,175.05
05.02.2026 14:28:00.000 UTC,1.18119,1.18124,1.18089,1.18094,204.15
05.02.2026 14:29:00.000 UTC,1.18092,1.18094,1.18066,1.18071,187.9
