UTC,Open,High,Low,Close,Volume
02.03.2026 12:00:00.000 UTC,1.1733,1.1733,1.17299,1.17301,177.97
02.03.2026 12:01:00.000 UTC,1.17303,1.17323,1.173,1.17314,173.46
02.03.2026 12:02:00.000 UTC,1.17316,1.17322,1.17311,1.17317,107.99
02.03.2026 12:03:00.000 UTC,1.17318,1.17332,1.17301,1.17332,172.85
02.03.2026 12:04:00.000 UTC,1.17332,1.17338,1.17325,1.17325,74.09
02.03.2026 12:05:00.000 UTC,1.17325,1.17332,1.17319,1.17324,112.49
02.03.2026 12:06:00.000 UTC,1.17325,1.17326,1.17269,1.17284,205.71
02.03.2026 12:07:00.000 UTC,1.17287,1.17298,1.17284,1.17286,122.84
02.03.2026 12:08:00.000 UTC,1.17286,1.17292,1.17274,1.17278,122.17
02.03.2026 12:09:00.000 UTC,1.1728,1.17285,1.17265,1.17266,147.15
02.03.2026 12:10:00.000 UTC,1.17265,1.17268,1.17257,1.17261,111.82
02.03.2026 12:11:00.000 UTC,1.17261,1.17283,1.17258,1.17271,113.4
02.03.2026 12:12:00.000 UTC,1.17271,1.17272,1.17261,1.17264,98.1
02.03.2026 12:13:00.000 UTC,1.17263,1.17268,1.17253,1.17254,86.62
02.03.2026 12:14:00.000 UTC,1.17255,1.17259,1.17247,1.17252,101.02
02.03.2026 12:15:00.000 UTC,1.17252,1.17263,1.17251,1.17258,93.6
02.03.2026 12:16:00.000 UTC,1.17258,1.17262,1.17246,1.17248,104.85
02.03.2026 12:17:00.000 UTC,1.17247,1.17259,1.17227,1.17229,210.07
02.03.2026 12:18:00.000 UTC,1.17226,1.17231,1.172,1.17215,151.42
02.03.2026 12:19:00.000 UTC,1.17214,1.17216,1.17187,1.17191,207.34
02.03.2026 12:20:00.000 UTC,1.17193,1.17211,1.17184,1.17206,169.74
02.03.2026 12:21:00.000 UTC,1.17207,1.17213,1.17174,1.17185,144.97
02.03.2026 12:22:00.000 UTC,1.17185,1.17212,1.17181,1.17212,151.2
02.03.2026 12:23:00.000 UTC,1.17212,1.17222,1.17195,1.17202,197.99
02.03.2026 12:24:00.000 UTC,1.17201,1.17217,1.17197,1.17208,100.57
02.03.2026 12:25:00.000 UTC,1.17206,1.17215,1.17191,1.17212,112.99
02.03.2026 12:26:00.000 UTC,1.17212,1.17234,1.17211,1.17232,134.1
02.03.2026 12:27:00.000 UTC,1.17231,1.17233,1.17212,1.17217,127.56
02.03.2026 12:28:00.000 UTC,1.17219,1.17224,1.17198,1.17203,85.85
02.03.2026 12:29:00.000 UTC,1.17202,1.17202,1.17191,1.17197,51.3
02.03.2026 12:30:00.000 UTC,1.17196,1.17203,1.17182,1.17182,159.97
02.03.2026 12:31:00.000 UTC,1.17183,1.17197,1.17175,1.17186,135.89
02.03.2026 12:32:00.000 UTC,1.17187,1.17194,1.17178,1.17182,127.8
02.03.2026 12:33:00.000 UTC,1.17184,1.1719,1.17178,1.17187,108
02.03.2026 12:34:00.000 UTC,1.17188,1.17197,1.1718,1.17197,83.7
02.03.2026 12:35:00.000 UTC,1.17199,1.17214,1.17185,1.17185,158.31
02.03.2026 12:36:00.000 UTC,1.17184,1.17187,1.17166,1.17171,95.62
02.03.2026 12:37:00.000 UTC,1.17173,1.17187,1.17168,1.17168,146.7
02.03.2026 12:38:00.000 UTC,1.17168,1.17206,1.17167,1.17198,116.77
02.03.2026 12:39:00.000 UTC,1.17196,1.17199,1.17183,1.17197,95.17
02.03.2026 12:40:00.000 UTC,1.17199,1.17205,1.1719,1.17202,135.89
02.03.2026 12:41:00.000 UTC,1.17203,1.17203,1.17189,1.17192,209.09
02.03.2026 12:42:00.000 UTC,1.17192,1.17208,1.17191,1.17197,133.2
02.03.2026 12:43:00.000 UTC,1.17197,1.17203,1.17173,1.17174,168.2
02.03.2026 12:44:00.000 UTC,1.17169,1.17171,1.17129,1.17136,180.31
02.03.2026 12:45:00.000 UTC,1.17134,1.17142,1.17123,1.17141,129.67
02.03.2026 12:46:00.000 UTC,1.17139,1.17139,1.17096,1.17097,259.89
02.03.2026 12:47:00.000 UTC,1.17097,1.17101,1.17068,1.17071,127.79
02.03.2026 12:48:00.000 UTC,1.17067,1.1707,1.1705,1.17052,110.31
02.03.2026 12:49:00.000 UTC,1.17051,1.17087,1.17048,1.17084,196.26
02.03.2026 12:50:00.000 UTC,1.17086,1.17088,1.17061,1.17073,129.44
02.03.2026 12:51:00.000 UTC,1.17071,1.17079,1.17059,1.17071,185.4
02.03.2026 12:52:00.000 UTC,1.17072,1.17083,1.17062,1.17076,137.37
02.03.2026 12:53:00.000 UTC,1.17076,1.17088,1.17074,1.17075,165.85
02.03.2026 12:54:00.000 UTC,1.17075,1.17076,1.1706,1.17062,145.34
02.03.2026 12:55:00.000 UTC,1.17061,1.17061,1.17028,1.17028,226.79
02.03.2026 12:56:00.000 UTC,1.17029,1.17033,1.17019,1.17031,174.13
02.03.2026 12:57:00.000 UTC,1.17031,1.1705,1.17022,1.17027,168.19
02.03.2026 12:58:00.000 UTC,1.17027,1.17049,1.17026,1.17045,108.07
02.03.2026 12:59:00.000 UTC,1.17045,1.17056,1.1703,1.17036,175.05
02.03.2026 13:00:00.000 UTC,1.17041,1.17086,1.1704,1.17083,325.38
02.03.2026 13:01:00.000 UTC,1.17085,1.171,1.17078,1.17088,251.09
02.03.2026 13:02:00.000 UTC,1.17088,1.17094,1.17071,1.17071,177.1
02.03.2026 13:03:00.000 UTC,1.17072,1.17075,1.17051,1.17061,211.25
02.03.2026 13:04:00.000 UTC,1.17061,1.17068,1.17031,1.17033,171.45
02.03.2026 13:05:00.000 UTC,1.17035,1.1704,1.17011,1.17028,193.72
02.03.2026 13:06:00.000 UTC,1.17027,1.1704,1.17015,1.17025,242.97
02.03.2026 13:07:00.000 UTC,1.17025,1.17025,1.17001,1.17001,168.79
02.03.2026 13:08:00.000 UTC,1.17001,1.17007,1.16986,1.17005,282.67
02.03.2026 13:09:00.000 UTC,1.17005,1.17006,1.16967,1.16975,215.09
02.03.2026 13:10:00.000 UTC,1.16976,1.16988,1.16968,1.16984,207.14
02.03.2026 13:11:00.000 UTC,1.16984,1.17006,1.16977,1.17001,207.9
02.03.2026 13:12:00.000 UTC,1.17001,1.17002,1.16972,1.16976,150.92
02.03.2026 13:13:00.000 UTC,1.16977,1.17058,1.16977,1.17055,286.94
02.03.2026 13:14:00.000 UTC,1.17055,1.17066,1.17038,1.17054,250.23
02.03.2026 13:15:00.000 UTC,1.17053,1.17082,1.17053,1.17073,191.15
02.03.2026 13:16:00.000 UTC,1.17071,1.17084,1.17062,1.17082,246.56
02.03.2026 13:17:00.000 UTC,1.17082,1.17104,1.17077,1.17101,245.02
02.03.2026 13:18:00.000 UTC,1.171,1.17101,1.17077,1.17088,223.67
02.03.2026 13:19:00.000 UTC,1.17092,1.17117,1.17085,1.17111,219.35
02.03.2026 13:20:00.000 UTC,1.17111,1.17133,1.17101,1.1713,299.43
